Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
"Aspen Aerogels, Inc. (NYSE:ASPN)",NYSE:ASPN,General Motors LLC,"Subsidiary/Investment
                         ",Supplier,Specialty Chemicals,"Aspen Aerogels, Inc. (NYSE:ASPN) 2024 Form 10-K","Aspen Aerogels, Inc. designs, develops, manufactures, and sells aerogel insulation products primarily for use in the energy infrastructure and sustainable insulation materials markets in the United States, Asia, Canada, Europe, and Latin America. It operates in two segments, Energy Industrial and Thermal Barrier. The company offers PyroThin thermal barriers for use in lithium-ion batteries in electric vehicles and energy storage industries; Pyrogel XTE that reduces the risk of corrosion under insulation in energy infrastructure operating systems; and Pyrogel HPS for applications within the power generation market. It also offers Pyrogel XTF to provide protection against fire; Cryogel Z for sub-ambient and cryogenic applications in the energy infrastructure market; Spaceloft Subsea for use in pipe-in-pipe applications in offshore oil production; and Cryogel X201, which is used in designing cold systems, such as refrigerated appliances, cold storage equipment, and aerospace systems. The company was founded in 2001 and is headquartered in Northborough, Massachusetts."
Audix Corporation (TWSE:2459),TWSE:2459,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Electrical Components and Equipment,Audix Corporation (TWSE:2459) 2024 Form Doc,"Audix Corporation manufactures, markets, trades in, and distributes electronic components in Taiwan. The company manufactures electronic components, such as relays, transformers, chokes, and couplers; precision molds and finished products, including precision pressing molds comprising multi-position progressive dies, composite molds, forming molds, and automatic joint riveting dies; precision pressing products, such as precision coupler, automobile switch, relay connection riveting, hearing aid, and assortment of adhesive terminals; precision coupler parts, plastic parts for electronics and electric appliances, and plastic parts for medical devices; and coupler assemblies, as well as coils, electronic special equipment and their spare parts, and anti-electromagnetic interference components. It designs, develops, and manufactures automated production equipment for CCFL and electronics; and equipment and jigs for the assembly of automobile components, as well as offers electronic switches for automobiles. In addition, the company engages in safety standard test certification and electromagnetic compatibility test certification; warehousing business, international trade, entrepot trade, intra-regional trade, and business market consulting; inspection and testing services; design and production of microcontroller electronic control board and integrated circuit block. Further, it engages in the design of electronic, motor, and electrical product technology, as well as provision of technical consultation and service; various engineering construction activities; sale of electronic measuring instruments and home-made products; and testing of electronic and electrical products. Additionally, it offers services for safety verification and EMC authentication, as well as for the development of software/hardware products; anechoic chamber design and construction services; and chemistry examination services. Audix Corporation was founded in 1980 and is based in Taipei, Taiwan."
Autoline Design Software Limited,-,General Motors India Private Limited,"Subsidiary/Investment
                         ",Supplier,Automobile Manufacturers,Autoline Industries Limited (NSEI:AUTOIND) - Form Doc,"Autoline Design Software Limited operates as an engineering services company that offers design, drafting, modeling and analysis services. The company was incorporated in 2004 and is based in Pune, India. Autoline Design Software Limited operates as a subsidiary of Autoline Industries Limited."
Autoline Industries Limited (NSEI:AUTOIND),NSEI:AUTOIND,General Motors India Private Limited,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Autoline Industries Limited (NSEI:AUTOIND) 9/3/ Form Doc,"Autoline Industries Limited manufactures and sells sheet metal stampings, welded assemblies, and modules for original equipment manufacturers and other automobile companies in India. The company offers small mechanical assemblies, including pedal boxes, parking brakes, door hinges, cab stay and cab tilt assemblies, and battery brackets; exhaust systems; load body, tubular structures, fabrications, foot control modules, and skin panels; medium stamp parts/assemblies; large stamp assemblies; non-automotive assemblies; and hospital beds and steel furniture. It also provides design and engineering services, such as product engineering, product re-engineering, sheet metal-BIW design and engineering, reverse engineering, and jigs and fixture services. In addition, the company offers manufacturing services comprising tool room, and prototype and mass manufacturing services, as well as contract engineering manpower for onsite and offsite deployment. Further, it provides engineering and designing software services and business solutions. The company exports its products. Autoline Industries Limited was founded in 1995 and is based in Pune, India."
"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"Autoliv, Inc. (NYSE:ALV) 2024 Form 10-K","Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden."
Banco Bilbao Vizcaya Argentaria (New York Branch),-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 1975 and is based in New York, New York. Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A."
Banco Bilbao Vizcaya Argentaria (New York Branch),-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 1975 and is based in New York, New York. Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A."
Banco Bilbao Vizcaya Argentaria (New York Branch),-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company was founded in 1975 and is based in New York, New York. Banco Bilbao Vizcaya Argentaria (New York Branch) operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A."
Banco Bradesco S.A. (BOVESPA:BBDC4),BOVESPA:BBDC4,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through two segments, Banking and Insurance. It provides current, savings, click, and salary accounts; real estate credit, vehicle financing, payroll loans, mortgage loans, microcredit, leasing, and personal and installment credit; overdraft and agribusiness loans; debit and business cards; financial and security services; consortium products; car, personal accident, dental, travel, and life insurance; investment products; pension products; foreign currency exchange services; capitalization bonds; and internet banking services. Banco Bradesco S.A. was founded in 1943 and is headquartered in Osasco, Brazil."
Banco Bradesco SA - New York Branch,-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Bradesco SA - New York Branch operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. It provides domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was founded in 1982 and is based in New York, New York. Banco Bradesco SA - New York Branch operates as a subsidiary of Banco Bradesco S.A."
Banco Bradesco SA - New York Branch,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Bradesco SA - New York Branch operates as a bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. It provides domestic commercial and industrial loans. Also, it provides loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was founded in 1982 and is based in New York, New York. Banco Bradesco SA - New York Branch operates as a subsidiary of Banco Bradesco S.A."
Banco do Brasil S.A. (BOVESPA:BBAS3),BOVESPA:BBAS3,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Banco do Brasil S.A., together with its subsidiaries, provides banking products and services for individuals, companies, and public sectors in Brazil and internationally. The company operates through Banking; Investments; Resource Management; Insurance, Pension, and Capitalization; Payments Method; and Other segments. The Banking segment offers various products and services, including deposits, credit operations, and other services to retail, wholesale, and government markets, as well as to micro-entrepreneurs and informal sectors. The Investments segment engages in the domestic capital markets, intermediation and distribution of debts and equity instruments in primary and secondary capital markets; and provision of financial services. The Resource Management segment engages in the purchase, sale, and custody of bonds and securities, as well as the portfolio management and administration of funds and investment clubs. The Insurance, Pension, and Capitalization segment provides life, property, and automobile insurance products, as well as supplementary pension and capitalization plans. The Payments Method segment is involved in the capturing, transmission, processing, and financial settlement for electronic transactions. The Other segment engages in the provision of credit recovery and consortium management services; development, manufacturing, sale, rental, and integration of digital electronic equipment and systems, peripherals, programs, inputs, and computing supplies. The company was incorporated in 1808 and is headquartered in Brasília, Brazil."
"Banco Santander, S.A. (BME:SAN)",BME:SAN,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Banco Santander, S.A. provides various financial services worldwide. The company operates through Retail Banking, Santander Corporate & Investment Banking, Wealth Management & Insurance, and PagoNxt segments. It offers demand and time deposits, mutual funds, and current and savings accounts; mortgages, consumer finance, loans, and various financing solutions; and project finance, debt capital markets, global transaction banking, and corporate finance services. The company also provides asset management and private banking services; and insurance products. In addition, it offers corporate and investment banking services, and digital payment solutions. Further, it offers online banking and financial services to retail, business, institutional, corporate, private banking and university customers and clients. The company was formerly known as Banco Santander Central Hispano SA and changed its name to Banco Santander, S.A. in February 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain."
"Banco Santander, S.A. New York Branch",-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Santander, S.A. New York Branch operates as a bank. It provides domestic commercial and industrial loans. The company was founded in 1977 and is based in New York, New York."
"Banco Santander, S.A. New York Branch",-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Banco Santander, S.A. New York Branch operates as a bank. It provides domestic commercial and industrial loans. The company was founded in 1977 and is based in New York, New York."
Bangkok Bank Public Company Limited (SET:BBL),SET:BBL,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Bangkok Bank Public Company Limited provides various commercial banking products and services in Thailand and internationally. It operates through Domestic Banking, International Banking, Investment Banking, and Others segments. The company offers various personal banking products and services, including savings, current, fixed deposit, foreign currency, securities trading, and other accounts; home and personal loans, as well as loans for pensioners; mutual funds; bonds and debentures; life and non-life bancassurance products; payment, funds transfer, currency exchange and foreign instrument, and SMS services; debit, credit, and prepaid cards; and phone and Internet banking, mobile banking, ATMs, and other services. It also provides business banking products and services comprising operating accounts; loans for SMEs, international trade, investment banking, and e-guarantee services; securities services, such as custodian, mutual fund supervisor, provident fund registrar, securities registrar, and debenture holders’ representative services; personal loans for small businesses; payment, collection, and merchant services; digital banking services; and commercial cards. In addition, the company offers trade finance, remittances, export and import, project, corporate finance, electronic services, business strategic management by trading financial instruments, and financial advisory services, as well as liquidity, fund, and asset management services. Bangkok Bank Public Company Limited was founded in 1944 and is headquartered in Bangkok, Thailand."
Bangkok Bank Public Company Limited (SET:BBL),SET:BBL,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Bangkok Bank Public Company Limited provides various commercial banking products and services in Thailand and internationally. It operates through Domestic Banking, International Banking, Investment Banking, and Others segments. The company offers various personal banking products and services, including savings, current, fixed deposit, foreign currency, securities trading, and other accounts; home and personal loans, as well as loans for pensioners; mutual funds; bonds and debentures; life and non-life bancassurance products; payment, funds transfer, currency exchange and foreign instrument, and SMS services; debit, credit, and prepaid cards; and phone and Internet banking, mobile banking, ATMs, and other services. It also provides business banking products and services comprising operating accounts; loans for SMEs, international trade, investment banking, and e-guarantee services; securities services, such as custodian, mutual fund supervisor, provident fund registrar, securities registrar, and debenture holders’ representative services; personal loans for small businesses; payment, collection, and merchant services; digital banking services; and commercial cards. In addition, the company offers trade finance, remittances, export and import, project, corporate finance, electronic services, business strategic management by trading financial instruments, and financial advisory services, as well as liquidity, fund, and asset management services. Bangkok Bank Public Company Limited was founded in 1944 and is headquartered in Bangkok, Thailand."
Bangkok Bank Public Company Limited (SET:BBL),SET:BBL,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Bangkok Bank Public Company Limited provides various commercial banking products and services in Thailand and internationally. It operates through Domestic Banking, International Banking, Investment Banking, and Others segments. The company offers various personal banking products and services, including savings, current, fixed deposit, foreign currency, securities trading, and other accounts; home and personal loans, as well as loans for pensioners; mutual funds; bonds and debentures; life and non-life bancassurance products; payment, funds transfer, currency exchange and foreign instrument, and SMS services; debit, credit, and prepaid cards; and phone and Internet banking, mobile banking, ATMs, and other services. It also provides business banking products and services comprising operating accounts; loans for SMEs, international trade, investment banking, and e-guarantee services; securities services, such as custodian, mutual fund supervisor, provident fund registrar, securities registrar, and debenture holders’ representative services; personal loans for small businesses; payment, collection, and merchant services; digital banking services; and commercial cards. In addition, the company offers trade finance, remittances, export and import, project, corporate finance, electronic services, business strategic management by trading financial instruments, and financial advisory services, as well as liquidity, fund, and asset management services. Bangkok Bank Public Company Limited was founded in 1944 and is headquartered in Bangkok, Thailand."
Bank of America Corporation (NYSE:BAC),NYSE:BAC,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. It operates in four segments: Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets. The Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, non-interest and interest-bearing checking accounts, and investment accounts and products; credit and debit cards; residential mortgages, and home equity loans; and direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The GWIM segment provides investment management, brokerage, banking, and trust and retirement products and services; wealth management solutions; and customized solutions, including specialty asset management services. The Global Banking segment offers lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, short-term investing options, and merchant services; working capital management solutions; debt and equity underwriting and distribution, and merger-related and other advisory services; and fixed-income and equity research, and certain market-based services. The Global Markets segment provides market-making, financing, securities clearing, settlement, and custody services; securities and derivative products; and risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. Bank of America Corporation was founded in 1784 and is based in Charlotte, North Carolina."
Bank of America Corporation (NYSE:BAC),NYSE:BAC,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. It operates in four segments: Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets. The Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, non-interest and interest-bearing checking accounts, and investment accounts and products; credit and debit cards; residential mortgages, and home equity loans; and direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The GWIM segment provides investment management, brokerage, banking, and trust and retirement products and services; wealth management solutions; and customized solutions, including specialty asset management services. The Global Banking segment offers lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, short-term investing options, and merchant services; working capital management solutions; debt and equity underwriting and distribution, and merger-related and other advisory services; and fixed-income and equity research, and certain market-based services. The Global Markets segment provides market-making, financing, securities clearing, settlement, and custody services; securities and derivative products; and risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. Bank of America Corporation was founded in 1784 and is based in Charlotte, North Carolina."
